#Selection names:,"Selection 1, Selection 2, Selection 3"
"#Areas (µm^2): 1397169.4, 19795.2, 24263.3"
Selection,X,Y
Selection 1,982.585323827156,1291.64499530425
Selection 1,1003.84232563837,1269.87765880967
Selection 1,1026.03667686801,1249.99543614548
Selection 1,1064.66588790074,1220.16689465243
Selection 1,1115.02238165734,1185.17251636449
Selection 1,1168.97204818458,1174.67420287811
Selection 1,1225.84832789602,1171.1435200687
Selection 1,1270.78902501282,1167.16499253715
Selection 1,1347.93288214935,1161.89500580689
Selection 1,1454.86362080479,1164.57165914617
Selection 1,1508.36544260989,1167.85238211067
Selection 1,1586.86324890637,1171.48721485546
Selection 1,1634.07441461448,1166.67548784086
Selection 1,1669.41248768917,1130.21259546406
Selection 1,1763.17867451248,1103.45647706474
Selection 1,1830.56368270383,1082.90769481411
Selection 1,1906.8118503961,1064.73353109017
Selection 1,1950.51316328187,1038.24820252284
Selection 1,2022.16831882383,1022.91733203479
Selection 1,2075.7430455837,1024.12547128521
Selection 1,2162.44786678819,1000.94169566945
Selection 1,2235.00912676797,968.905175546323
Selection 1,2281.25169807703,927.984665935219
Selection 1,2292.36449618216,870.95216132071
Selection 1,2346.06420286449,824.615855069807
Selection 1,2397.38929102013,808.285145202102
Selection 1,2472.74176926811,797.599361832035
Selection 1,2538.39788853215,806.12924153972
Selection 1,2572.13205260198,853.757006989345
Selection 1,2573.48600176193,923.652028623379
Selection 1,2582.73451602374,983.517411480245
Selection 1,2603.58533308697,1037.66496288471
Selection 1,2624.64445002096,1080.26228645544
Selection 1,2693.30008742397,1085.74057305647
Selection 1,2758.7374918237,1080.65805620989
Selection 1,2802.6366895867,1082.64731997566
Selection 1,2866.02234025943,1092.64571377221
Selection 1,2935.83404194516,1103.8834917998
Selection 1,2992.93945151444,1125.02592868209
Selection 1,3021.63275871184,1161.06180632384
Selection 1,3056.34593217425,1216.7403617784
Selection 1,3054.4712333374,1267.8363200762
Selection 1,3037.22400403834,1310.78775342723
Selection 1,3011.41565005099,1359.92569293988
Selection 1,2969.432811099,1404.55394025054
Selection 1,2960.12180687596,1463.33616377944
Selection 1,2982.6181929182,1512.14082349887
Selection 1,2982.88898275019,1555.38387666897
Selection 1,2951.5710971812,1583.50435922178
Selection 1,2913.15018601923,1602.14719765493
Selection 1,2864.83503099609,1618.08213776819
Selection 1,2824.3831960942,1629.12203091855
Selection 1,2766.8611867834,1634.23579274575
Selection 1,2719.87915093314,1636.97493604626
Selection 1,2621.10335221802,1648.59806883476
Selection 1,2565.85181149852,1664.939193696
Selection 1,2501.81001623289,1685.16511114694
Selection 1,2448.4748343244,1691.85153699839
Selection 1,2385.45370842549,1708.702996543
Selection 1,2321.43274314693,1725.51279611345
Selection 1,2264.79600828687,1731.91801713937
Selection 1,2223.81300871454,1742.8954203285
Selection 1,2147.09616631307,1773.05724161477
Selection 1,2059.23528082585,1785.21153907371
Selection 1,1990.16304368132,1789.44002645017
Selection 1,1936.25503712824,1790.9814454938
Selection 1,1889.88748589672,1799.09472545997
Selection 1,1799.00625228346,1805.67700137603
Selection 1,1738.76592965922,1809.91590374603
Selection 1,1693.72108260704,1825.81959887867
Selection 1,1644.10405339164,1847.79523524401
Selection 1,1596.16383813588,1872.60374985171
Selection 1,1509.44860193785,1912.02450039333
Selection 1,1422.70212075921,1917.80482180697
Selection 1,1415.52619021147,1919.46080577952
Selection 1,1358.2853857262,1910.44142137555
Selection 1,1311.68870463685,1881.45649435908
Selection 1,1265.53986826963,1859.16840818759
Selection 1,1213.52739054047,1840.15062998706
Selection 1,1142.78875442985,1783.04522041779
Selection 1,1072.97705274413,1737.01094897949
Selection 1,1037.23279492145,1688.91450882065
Selection 1,1022.24561922015,1614.27025013325
Selection 1,1008.96650245911,1557.31065047351
Selection 1,999.290973462232,1509.48500014666
Selection 1,976.086367859396,1458.72232164208
Selection 1,956.662404910883,1407.59511836366
Selection 1,942.883368460008,1355.40558574435
Selection 1,982.585323827156,1291.64499530425
Selection 2,5324.57875803157,5167.99526227885
Selection 2,5325.37661157203,5170.65906361556
Selection 2,5327.06239889139,5181.96542040024
Selection 2,5330.11483211394,5192.43274410688
Selection 2,5336.09358622521,5203.22435667191
Selection 2,5337.41390514862,5217.6423422644
Selection 2,5329.1316706544,5233.56080725717
Selection 2,5319.39785746076,5243.34094743058
Selection 2,5305.29386584226,5256.53126805919
Selection 2,5291.18987422377,5259.45501522682
Selection 2,5281.88587245354,5253.50457204763
Selection 2,5273.57790074833,5245.96614295081
Selection 2,5260.69127920932,5239.42889136122
Selection 2,5245.06621842175,5234.99179618781
Selection 2,5230.589037244,5234.4101352196
Selection 2,5213.50467659371,5235.0072385144
Selection 2,5200.48422155759,5234.72927663578
Selection 2,5185.63642454169,5229.54580234388
Selection 2,5171.27763453447,5214.59763020515
Selection 2,5163.70059962118,5207.77212185255
Selection 2,5150.58491690441,5203.18575085544
Selection 2,5136.42945086395,5193.20486043636
Selection 2,5133.33583810384,5181.53303525573
Selection 2,5133.44393438996,5169.30528631787
Selection 2,5133.21744693332,5157.94745511122
Selection 2,5132.42731455615,5145.74029594215
Selection 2,5139.59512781482,5130.13067748117
Selection 2,5146.02428311829,5120.76233268348
Selection 2,5155.27166302436,5114.75269391903
Selection 2,5171.02798358794,5108.45222467048
Selection 2,5183.04983483794,5107.45362088435
Selection 2,5194.94814747522,5113.81585943926
Selection 2,5208.98522234516,5120.98624641903
Selection 2,5223.58336841452,5125.78623626729
Selection 2,5241.55566284371,5132.99522906354
Selection 2,5253.21976686105,5137.23929515458
Selection 2,5268.2837564492,5142.65955178753
Selection 2,5280.17434792319,5147.31283953319
Selection 2,5291.21818515585,5152.05878123839
Selection 2,5307.23702527145,5155.53845216325
Selection 2,5318.72096881191,5157.64632974273
Selection 2,5324.57875803157,5167.99526227885
Selection 3,2451.8007591092382,5795.073468674178
Selection 3,2456.661732413444,5791.888693061077
Selection 3,2477.7784709259895,5806.682813882773
Selection 3,2488.0334484001723,5823.850430635074
Selection 3,2491.9792177650347,5842.405939075611
Selection 3,2491.3757865962366,5862.38956794897
Selection 3,2489.13638648092,5876.7679917432715
Selection 3,2483.5512957741566,5896.99299308415
Selection 3,2473.4505284875554,5918.103026805931
Selection 3,2460.4767583584,5941.811166948925
Selection 3,2450.7447545638424,5956.725974004381
Selection 3,2439.8964031070077,5972.700138000616
Selection 3,2428.1496096877413,5984.822399702691
Selection 3,2405.5611696024052,5996.659707797276
Selection 3,2377.5954873240025,6000.015455574869
Selection 3,2355.312115218447,5999.965169644136
Selection 3,2339.069759591636,6001.859273035086
Selection 3,2320.3935649173395,5997.745883901113
Selection 3,2317.393171050261,5978.45284847649
Selection 3,2317.4937429117276,5961.935596428338
Selection 3,2317.98319263753,5947.557172634035
Selection 3,2319.2906268365928,5931.38521731025
Selection 3,2326.82345926042,5916.292733299537
Selection 3,2339.7201242957854,5899.644737831478
Selection 3,2357.836468941252,5871.353873201001
Selection 3,2366.438715492005,5857.873891369132
Selection 3,2390.0127598197114,5830.3272585135055
Selection 3,2404.5487461969774,5815.95889190535
Selection 3,2420.3754047963944,5802.475557678099
Selection 3,2435.635508576218,5796.514998688527
Selection 3,2451.8007591092382,5795.073468674178
