#Selection names:,Selection 1
#Areas (µm^2): 89292.5
Selection,X,Y
Selection 1,2168.4873953957726,5548.141709467462
Selection 1,2149.1445204518623,5536.324518987259
Selection 1,2214.55888933372,5549.455594461641
Selection 1,2263.1881830532375,5587.503838020924
Selection 1,2297.761239675251,5624.510302945769
Selection 1,2292.0392316532584,5688.913991062873
Selection 1,2268.894642140388,5756.5129852900845
Selection 1,2241.9561125259793,5822.036196715838
Selection 1,2210.81937050413,5896.671083959222
Selection 1,2189.1363808664423,5943.177948072756
Selection 1,2171.0451951773425,5975.496409142625
Selection 1,2139.0765851414267,5981.078476751037
Selection 1,2098.4316694634667,5982.9676723343855
Selection 1,2042.1367508666606,6008.996589260515
Selection 1,2005.5267837802962,5959.162253090714
Selection 1,2002.8212691177237,5907.578661751146
Selection 1,2002.1993117240288,5869.77920114934
Selection 1,2014.9494382947732,5830.945736380517
Selection 1,2037.098895977732,5799.451368857293
Selection 1,2037.098895977732,5762.001759289442
Selection 1,2043.6138996766856,5717.8427843371055
Selection 1,2063.205557578074,5661.998784850728
Selection 1,2081.872053856341,5623.958315758865
Selection 1,2129.482892343683,5565.12114631533
Selection 1,2168.4873953957726,5548.141709467462
