#Selection names:,"Selection 1, Selection 2, Selection 4"
"#Areas (µm^2): 634175.4, 65668.3, 45797.0"
Selection,X,Y
Selection 1,1526.9666152324176,1601.5614526814672
Selection 1,1558.8081390793552,1624.34437677075
Selection 1,1593.7123973323073,1649.5693029031356
Selection 1,1618.5007644402278,1664.187208987966
Selection 1,1657.85246775492,1683.6481917504582
Selection 1,1711.0649200963858,1721.8471063911718
Selection 1,1749.1478737462257,1738.0816451134754
Selection 1,1788.1516940882975,1735.0393744117328
Selection 1,1818.4106914715485,1725.2986511783506
Selection 1,1860.4977099239063,1715.3532909022504
Selection 1,1893.539771088124,1730.6464992280505
Selection 1,1910.0676229049898,1768.3065363229398
Selection 1,1905.886205998783,1802.01707849337
Selection 1,1892.837183908125,1844.8544327690274
Selection 1,1878.069210658635,1878.7764332169324
Selection 1,1862.0734151528359,1911.388756591442
Selection 1,1847.8443194491701,1949.4853527107966
Selection 1,1817.0873719286383,1992.3363494559687
Selection 1,1791.6100601102335,2028.3251840353269
Selection 1,1768.2609735360975,2065.9442937216727
Selection 1,1749.8982095695258,2113.720221961594
Selection 1,1729.8983492612092,2149.8659449403694
Selection 1,1700.7580343781506,2183.6378782236147
Selection 1,1670.185260196065,2225.1382704868474
Selection 1,1651.6587865953188,2259.3535840293152
Selection 1,1645.15814987164,2290.840403668875
Selection 1,1644.7420545514467,2319.387271128051
Selection 1,1647.2249840030931,2347.245193876743
Selection 1,1659.3463181667623,2380.1099029372713
Selection 1,1664.6668812774333,2424.5366049113727
Selection 1,1663.022963700931,2452.9265839711315
Selection 1,1648.5210186069744,2486.1801034128243
Selection 1,1626.2224021854577,2508.3832225477395
Selection 1,1599.8105812053072,2524.631403739557
Selection 1,1564.231020711385,2532.325756545758
Selection 1,1545.5408374764645,2554.351523576984
Selection 1,1528.1262251411536,2588.669155640811
Selection 1,1494.2929007450925,2630.2172965473446
Selection 1,1470.9915628142573,2661.8405408820504
Selection 1,1450.8279928717661,2687.215534179096
Selection 1,1421.9332424399693,2721.5809148862236
Selection 1,1402.0902705310698,2748.3065126652086
Selection 1,1376.6470648864515,2763.7293244513967
Selection 1,1342.0838683713628,2787.2216569554357
Selection 1,1323.1685843894522,2811.45068281326
Selection 1,1298.6462454370655,2834.7451995093375
Selection 1,1258.7283796375195,2841.532328092822
Selection 1,1230.6180712028086,2849.274429542323
Selection 1,1197.7465409075228,2858.9810466019194
Selection 1,1168.0878121829116,2869.8404523354934
Selection 1,1130.4891662008376,2869.144686390252
Selection 1,1094.3707281610914,2862.8964353525926
Selection 1,1065.7010784762842,2845.2908284440778
Selection 1,1046.090028549132,2811.382470465687
Selection 1,1013.1230009672448,2781.5395684026294
Selection 1,1004.7942733286177,2749.391088991614
Selection 1,1004.9716254323066,2713.8660983757504
Selection 1,995.6469975191181,2684.4597553371586
Selection 1,973.7030853049795,2657.1134251952617
Selection 1,961.322544220534,2629.364642202686
Selection 1,960.2175041898562,2594.3512441936173
Selection 1,949.9379034106498,2562.0868037917285
Selection 1,964.6444855473246,2532.469002475661
Selection 1,978.0209269063317,2502.387357196099
Selection 1,994.5214937841686,2476.787263152063
Selection 1,1010.7355688022001,2449.174904854633
Selection 1,1036.8813616268171,2440.1504112707644
Selection 1,1031.5744409856609,2403.745481371213
Selection 1,1060.2236269661962,2371.747069124858
Selection 1,1083.456752549459,2344.72815825131
Selection 1,1112.180972112324,2334.2643841336576
Selection 1,1116.83987545154,2301.849876567109
Selection 1,1124.3773398583235,2272.498103406575
Selection 1,1139.8274365835407,2241.8298319378873
Selection 1,1164.0496412066077,2219.4493606992837
Selection 1,1185.4137484663784,2197.4304149028153
Selection 1,1186.3209726890952,2166.5779700956814
Selection 1,1166.7440289357294,2132.7651094038924
Selection 1,1161.4780357031168,2091.03961639367
Selection 1,1171.675781665236,2058.591002653335
Selection 1,1190.372786134914,2033.0659421916298
Selection 1,1251.798005124133,1960.3038310358272
Selection 1,1275.4404047928317,1937.404945955671
Selection 1,1308.8985612772428,1930.5768899636435
Selection 1,1317.7525239921797,1898.9877518027245
Selection 1,1309.5943272224843,1859.7315457746338
Selection 1,1314.0690572232536,1830.0046047024498
Selection 1,1316.088142711406,1793.9202728364899
Selection 1,1329.3827292533256,1761.5807988522715
Selection 1,1350.6308755222226,1729.7119900663045
Selection 1,1406.3126148458202,1680.6332059877445
Selection 1,1414.9551192832816,1652.584288665849
Selection 1,1435.4461084941215,1622.202509056967
Selection 1,1461.8920356480587,1605.92704292612
Selection 1,1496.7826514314963,1600.927077849041
Selection 1,1498.9313403800365,1601.6569499680688
Selection 1,1526.9666152324176,1601.5614526814672
Selection 2,2180.443296558696,2220.997063538413
Selection 2,2198.5464627798715,2213.4481615455306
Selection 2,2217.728719693447,2209.1838601689874
Selection 2,2247.27119382484,2208.5212606210225
Selection 2,2270.2491995774694,2205.1041400950908
Selection 2,2314.0517625518432,2200.0494521149035
Selection 2,2336.021670420784,2198.35509041368
Selection 2,2362.6345079793905,2199.902733643569
Selection 2,2387.013438490574,2203.9114609087546
Selection 2,2419.277303622536,2218.502849525718
Selection 2,2441.535915580232,2229.757576133288
Selection 2,2466.6247741785205,2243.923007897988
Selection 2,2493.0719618501357,2260.047841183098
Selection 2,2520.598240214151,2274.0760201842913
Selection 2,2538.493160863109,2284.4457031099373
Selection 2,2557.1548038461406,2296.8552460725314
Selection 2,2577.6717255634735,2315.7677303130067
Selection 2,2590.0055428634428,2330.8418700292013
Selection 2,2602.6943242069647,2360.7913695972015
Selection 2,2602.2068402538193,2391.7820970262883
Selection 2,2599.7883519037487,2416.26515032358
Selection 2,2587.5349931203177,2433.2702944367006
Selection 2,2564.126297661511,2450.4363555828977
Selection 2,2546.3260340908337,2461.2556596303766
Selection 2,2518.2081489875645,2468.0378392891857
Selection 2,2490.5351521522143,2468.624713174526
Selection 2,2470.500981534113,2461.3739809782273
Selection 2,2442.9321074848717,2437.544061521072
Selection 2,2422.329994397087,2419.3225739520453
Selection 2,2390.48262040956,2402.412086917206
Selection 2,2361.7258000278966,2385.8092353867787
Selection 2,2337.152822506238,2372.2922046083013
Selection 2,2308.3013450462936,2359.9915172857295
Selection 2,2279.6770445742227,2342.849120409103
Selection 2,2255.4495653882886,2322.9569354084224
Selection 2,2242.0224588341775,2307.305387514716
Selection 2,2224.2884552182963,2290.2671134241978
Selection 2,2208.8309543350656,2272.977998076236
Selection 2,2191.5986332340717,2254.6381891593587
Selection 2,2183.401330254967,2230.92185819614
Selection 2,2180.443296558696,2220.997063538413
Selection 4,3545.3353022050005,3936.8601515587648
Selection 4,3543.8227666884645,3929.134173681384
Selection 4,3556.2683907882374,3919.4352069974784
Selection 4,3569.527839307527,3910.507231868904
Selection 4,3579.242868315502,3904.0956875112024
Selection 4,3589.2604044267837,3894.9776415478063
Selection 4,3602.982983290074,3888.4375985975494
Selection 4,3620.057233775846,3880.7758700164454
Selection 4,3644.675422466212,3871.090288602598
Selection 4,3676.369064909148,3872.514481336752
Selection 4,3688.528244229683,3881.7181930285174
Selection 4,3701.0970128139884,3891.8883212184587
Selection 4,3710.3114327218004,3902.534965022459
Selection 4,3717.7027788477358,3921.2877283734824
Selection 4,3726.3362780350376,3936.2979702163366
Selection 4,3740.0267322501895,3961.25346771216
Selection 4,3745.3781632193104,3976.994545300171
Selection 4,3755.8641837826167,3993.386147012993
Selection 4,3763.2582069625637,4006.586700344027
Selection 4,3769.6858136443348,4020.582338716498
Selection 4,3778.4986754504125,4030.581135449698
Selection 4,3784.1606446848755,4044.7695217110017
Selection 4,3785.6169620671676,4055.7186726183086
Selection 4,3788.4947951296012,4070.613801138665
Selection 4,3789.782458109165,4085.3349211482696
Selection 4,3790.6525006629245,4100.762783416928
Selection 4,3790.0581946723564,4118.07796876374
Selection 4,3777.1039303103857,4137.984542393749
Selection 4,3767.49062935485,4146.259316343501
Selection 4,3767.236309223752,4146.406554314137
Selection 4,3759.4755296442204,4154.646526561739
Selection 4,3754.1642544852716,4166.9315274208175
Selection 4,3751.192724532433,4177.602264710922
Selection 4,3741.097553854816,4186.744404160421
Selection 4,3728.8500317518983,4192.200240235994
Selection 4,3710.5496905288296,4189.852463867851
Selection 4,3701.238896676601,4182.977789166148
Selection 4,3689.4089949994886,4177.366683957905
Selection 4,3679.6190084791897,4161.997716877501
Selection 4,3676.8830592793684,4151.051243024205
Selection 4,3673.4430448745056,4132.451071751841
Selection 4,3670.3992344633543,4116.477090464823
Selection 4,3665.361018813586,4106.542543027899
Selection 4,3654.9901115727776,4098.053604757222
Selection 4,3640.6973202050235,4094.6216215143936
Selection 4,3628.1205204586845,4089.168462492833
Selection 4,3618.7722478502938,4081.587045532076
Selection 4,3609.100051706504,4067.492356161178
Selection 4,3599.200305971731,4048.0435587671473
Selection 4,3591.0647388305797,4030.238472536218
Selection 4,3581.5692282515533,4020.006772104011
Selection 4,3573.0187177386097,3998.769702630253
Selection 4,3562.1579096136848,3974.3951258549396
Selection 4,3557.2348072864133,3964.4793177960973
Selection 4,3551.8110958589796,3954.991838379105
Selection 4,3545.3353022050005,3936.8601515587648
