#Selection names:,"Selection 1, Selection 2, Selection 3, Selection 4, Selection 5, Selection 6"
"#Areas (µm^2): 704489.5, 1454247.2, 106361.5, 81639.8, 50678.6, 63483.0"
Selection,X,Y
Selection 1,2016.112642755822,4960.072697495643
Selection 1,2051.261185351268,4974.661378302632
Selection 1,2112.149136874395,5005.670806808654
Selection 1,2205.245276721792,5051.020116914103
Selection 1,2330.368660015232,5110.121237764746
Selection 1,2453.2076142210653,5151.987358964341
Selection 1,2549.0631634614124,5176.460153744438
Selection 1,2678.5066057225035,5223.415349644147
Selection 1,2771.942017216574,5246.372731069099
Selection 1,2866.598806638672,5278.105939088025
Selection 1,2962.771009415915,5327.9336349295745
Selection 1,2993.780437921936,5442.9919593716795
Selection 1,2937.5744351229123,5522.607705791222
Selection 1,2849.5899880854067,5609.619574108262
Selection 1,2746.6775885942366,5734.381067645249
Selection 1,2655.1647164313194,5814.788447907031
Selection 1,2576.860820378917,5890.491261334932
Selection 1,2487.9716489502803,5919.600768619577
Selection 1,2398.5848791065214,5913.154607332767
Selection 1,2311.6408651188167,5879.747659190249
Selection 1,1913.9240227775572,5640.13140419916
Selection 1,1827.8847331809834,5520.775638899181
Selection 1,1834.738020443802,5407.0291648242155
Selection 1,1864.4355985826824,5316.782906808882
Selection 1,1848.0827052129869,5228.979404649603
Selection 1,1867.692606390755,5130.726335772758
Selection 1,1917.1131762562945,5012.68242083992
Selection 1,2016.112642755822,4960.072697495643
Selection 2,3062.768796974859,5318.783453547031
Selection 2,3089.3896012121513,5303.673918127659
Selection 2,3157.5815297697604,5303.673918127659
Selection 2,3226.9994164172444,5275.3654313250845
Selection 2,3298.8055331099404,5282.036553918042
Selection 2,3405.1136131891267,5293.420450466884
Selection 2,3491.2491101530927,5294.487193220411
Selection 2,3599.961341811125,5284.408862429618
Selection 2,3711.1732542498125,5252.02446301655
Selection 2,3780.5911408972966,5231.421998493191
Selection 2,3867.1724408030354,5199.403794353719
Selection 2,3940.6980831282835,5163.6599513437195
Selection 2,4050.079019198975,5107.998269756654
Selection 2,4124.6873258113865,5098.190605037651
Selection 2,4256.406173571623,5062.797035767615
Selection 2,4350.375065083884,5033.6765507496675
Selection 2,4465.503674796718,5013.296987697196
Selection 2,4556.463396452011,5032.800866399757
Selection 2,4610.2622586038115,5092.395166794605
Selection 2,4672.404004380217,5179.342661973941
Selection 2,4696.525127836854,5300.744355938867
Selection 2,4670.557106478587,5442.971415898035
Selection 2,4633.2688747060165,5571.824387604019
Selection 2,4578.33958366615,5645.4614806647105
Selection 2,4521.69076699373,5697.301994179438
Selection 2,4452.0977434762635,5729.113218381656
Selection 2,4389.350979421737,5749.078821559625
Selection 2,4303.454305462293,5757.087352977902
Selection 2,4304.409597480378,5757.087352977902
Selection 2,4239.959229326933,5829.6099386841615
Selection 2,4101.059769897425,5914.232889952826
Selection 2,3978.1296087035666,5947.859168989406
Selection 2,3876.996027055672,5961.933804722519
Selection 2,3758.364679943194,6000.639052988582
Selection 2,3621.8056859579942,6056.316656109282
Selection 2,3510.37087204842,6084.402241440971
Selection 2,3431.002026879221,6104.574824556192
Selection 2,3257.298094924163,6134.475464722241
Selection 2,3103.559766147074,6140.859999709774
Selection 2,2956.7313829674636,6130.160729107225
Selection 2,2780.0023596218043,6087.682077369728
Selection 2,2689.6158131773614,6047.464283408364
Selection 2,2603.6236100161086,5994.7640070773605
Selection 2,2578.4994299404825,5918.00629342426
Selection 2,2636.4697339045856,5813.672483515782
Selection 2,2687.5937784057496,5752.263128286574
Selection 2,2721.15637130779,5688.927267487563
Selection 2,2790.1284550135015,5622.502629163409
Selection 2,2890.6729399169103,5545.3309556358045
Selection 2,2950.41053411447,5506.6734719706465
Selection 2,3023.3470796952324,5404.887107443727
Selection 2,3062.768796974859,5318.783453547031
Selection 3,819.010718728961,2888.2182110955714
Selection 3,819.6746770747858,2881.5173391746307
Selection 3,869.3591908300509,2872.9982428605085
Selection 3,914.6207205277437,2886.5838520904636
Selection 3,995.2763374297939,2900.843634410026
Selection 3,1118.5682948775834,2982.5922288967417
Selection 3,1160.3363822018594,3013.430540374362
Selection 3,1197.0379566103024,3059.417316880571
Selection 3,1184.8211230471245,3130.767302197291
Selection 3,1105.5342818118518,3155.619773818705
Selection 3,1059.4964315867328,3153.5257513434117
Selection 3,1011.6710011997776,3152.637068634384
Selection 3,949.5245000305687,3133.0043310855317
Selection 3,895.4578611928596,3106.977163929196
Selection 3,848.1635974825643,3086.660038546955
Selection 3,761.9613747069309,3045.5661243122863
Selection 3,669.4770845054161,2991.0908957233
Selection 3,623.0715035041478,2938.433891527496
Selection 3,585.7774739563533,2879.576537856066
Selection 3,614.6034809089351,2834.5805914967027
Selection 3,663.399311955173,2852.4563931150647
Selection 3,720.2035021264369,2877.73788397532
Selection 3,819.010718728961,2888.2182110955714
Selection 4,3369.6702081373896,3428.9787822025987
Selection 4,3356.5285300875034,3401.745181689989
Selection 4,3363.422856572136,3363.745514159588
Selection 4,3397.3182769577265,3310.7441156860864
Selection 4,3441.7775846988025,3380.5769710465574
Selection 4,3475.91562067916,3436.4291027585723
Selection 4,3509.4572266557143,3474.1659367279753
Selection 4,3547.365913338078,3517.078570052411
Selection 4,3592.067836673921,3577.9851933220743
Selection 4,3557.7781659468337,3633.483510625054
Selection 4,3523.1245718275964,3655.1268434749045
Selection 4,3473.8028432080628,3670.108356451775
Selection 4,3432.103287857463,3677.336279379212
Selection 4,3384.692157046721,3672.696256129291
Selection 4,3337.806693357974,3654.7022661840624
Selection 4,3275.9397166923573,3641.6616779653295
Selection 4,3204.4085521685165,3619.0579917195255
Selection 4,3177.700618777902,3576.387973989858
Selection 4,3200.829972145701,3524.185185182464
Selection 4,3231.7937874278555,3479.331627099892
Selection 4,3300.241712101531,3442.272094999214
Selection 4,3369.6702081373896,3428.9787822025987
Selection 5,4412.047893088111,3236.240910126349
Selection 5,4412.138873936148,3225.1109197164074
Selection 5,4478.362822324459,3281.8829688919145
Selection 5,4481.506716073316,3325.7761735785334
Selection 5,4504.545088593077,3375.8055310161376
Selection 5,4541.59451171064,3405.9404096828375
Selection 5,4524.904580587285,3457.668076283812
Selection 5,4455.304231838466,3489.1878856373073
Selection 5,4396.025154850366,3493.4235495626167
Selection 5,4350.221352354955,3493.4235495626167
Selection 5,4290.922057400624,3488.0758974946248
Selection 5,4220.846586445386,3450.3289545421057
Selection 5,4244.17811947549,3376.462614918632
Selection 5,4296.168619637463,3349.815335426709
Selection 5,4353.112521525931,3300.5037157902916
Selection 5,4412.047893088111,3236.240910126349
Selection 6,5538.5593815873835,3374.4767222908654
Selection 6,5547.772224457351,3373.394816624112
Selection 6,5579.580251059891,3396.780623728545
Selection 6,5569.518528359088,3447.2889736633497
Selection 6,5532.658834527937,3476.317334937464
Selection 6,5504.471030733378,3495.8998275056956
Selection 6,5458.015665873256,3521.674149428268
Selection 6,5413.607599428682,3549.2960333356023
Selection 6,5380.959015346585,3572.565327522077
Selection 6,5337.0253229251275,3593.1548245955173
Selection 6,5295.879618183377,3584.874085069215
Selection 6,5261.308570954975,3539.816875224589
Selection 6,5249.4991544848,3509.398681286261
Selection 6,5241.451440794413,3476.2674008297677
Selection 6,5238.613519007007,3441.338492496208
Selection 6,5237.223686342793,3400.675484128856
Selection 6,5241.551309009806,3344.8824411295263
Selection 6,5279.010212133312,3329.577637120611
Selection 6,5335.13614918395,3316.2951644733957
Selection 6,5381.966019851794,3322.4120926661926
