#Selection names:,"Selection 1, Selection 3, Selection 5, Selection 6"
"#Areas (µm^2): 1010337.7, 83261.1, 681672.5, 440284.2"
Selection,X,Y
Selection 1,2405.6790919180366,5526.461114141921
Selection 1,2400.295557327708,5608.154944867002
Selection 1,2353.8168375757705,5689.051698868759
Selection 1,2327.4871720429746,5752.700235251015
Selection 1,2309.389610374031,5814.663150365912
Selection 1,2301.3796426461877,5886.269387149893
Selection 1,2263.616499524709,5965.088514938391
Selection 1,2201.117844317085,6016.6371653239385
Selection 1,2125.8528947047266,6040.24892989851
Selection 1,1946.8503695763056,5994.750222511317
Selection 1,1815.6985815104645,5961.900208045089
Selection 1,1730.9209785443213,5959.508977875113
Selection 1,1611.7122744968299,5935.256938555576
Selection 1,1357.8760051965378,5670.849602547575
Selection 1,1290.8039589534408,5643.3569890086155
Selection 1,1202.7204476102268,5647.355439456773
Selection 1,1077.3964664067316,5625.72983327475
Selection 1,1001.1384375980983,5587.130412935356
Selection 1,954.3069133948529,5531.531044775532
Selection 1,962.6304850794141,5447.315315565175
Selection 1,992.7364649243575,5393.140232042113
Selection 1,1035.8962094676947,5313.43255970958
Selection 1,1040.7178703022366,5260.707894486339
Selection 1,1109.893676421651,5126.851272293803
Selection 1,1109.893676421651,5127.622215354069
Selection 1,1191.0256333909456,5076.413302588299
Selection 1,1272.013855213411,4967.3836603026175
Selection 1,1306.9022953983063,4893.76513146303
Selection 1,1373.0335297712488,4868.768282746286
Selection 1,1444.143226957092,4897.5153121121175
Selection 1,1496.8809590118628,4931.397606269209
Selection 1,1550.9776415457457,4959.896365835973
Selection 1,1607.4394205865447,5007.681768740902
Selection 1,1676.4061574014804,5046.072119775817
Selection 1,1761.1445598730343,5098.35251272704
Selection 1,1821.5917225304595,5142.8320072548995
Selection 1,1878.1580362234981,5177.054039031769
Selection 1,1933.6528697310832,5203.5274397113935
Selection 1,1982.7449557890054,5214.882516310898
Selection 1,2053.3058460505918,5213.732635136264
Selection 1,2140.63148116507,5223.571959278297
Selection 1,2188.0118122925724,5252.8285950737945
Selection 1,2236.032418165041,5282.477235815191
Selection 1,2297.185189725082,5350.411692939263
Selection 1,2339.508657050504,5403.698231918292
Selection 1,2369.9935750098157,5446.818775967037
Selection 1,2381.1787827994303,5468.130778192343
Selection 1,2405.6790919180366,5526.461114141921
Selection 3,1779.9522362087741,1781.5815115000535
Selection 3,1709.2385976565045,1883.6792930052968
Selection 3,1617.9088598693031,1951.0475199170094
Selection 3,1518.8637664860682,1916.6734153102882
Selection 3,1443.989272205856,1848.7824678297382
Selection 3,1394.8744475579313,1769.1198531389796
Selection 3,1365.811183930594,1652.0095368967375
Selection 3,1459.2945304614036,1626.1662319734362
Selection 3,1542.8461861843098,1636.1188316040925
Selection 3,1619.4979303985679,1685.6309238843335
Selection 3,1692.720627681255,1726.5285811901404
Selection 3,1759.6288604923911,1717.3496080013626
Selection 3,1779.9522362087741,1781.5815115000535
Selection 5,2699.8114016846093,2409.547776167434
Selection 5,2784.1529162290813,2469.2569800933347
Selection 5,2818.248743243391,2520.5592005544404
Selection 5,2840.9642012586787,2588.66029461755
Selection 5,2869.264190480383,2643.117020543902
Selection 5,2892.206048409445,2705.3769968316524
Selection 5,2899.2395390640127,2792.4353103414073
Selection 5,2899.2395390640127,2881.953836247503
Selection 5,2899.2395390640127,2963.699298447371
Selection 5,2911.751907631902,3137.770645484127
Selection 5,2914.5894532178654,3239.2129001823005
Selection 5,2907.9483890805054,3334.3310506223975
Selection 5,2890.153355857897,3424.694802873248
Selection 5,2864.4494189807974,3485.6567529886956
Selection 5,2777.225078867608,3585.9066348076617
Selection 5,2714.8896359419336,3642.0840000786934
Selection 5,2637.309932155501,3711.6944269002934
Selection 5,2622.7448710360636,3777.04853534295
Selection 5,2618.6696725881384,3844.108189802701
Selection 5,2578.6270745053744,3909.8849114177347
Selection 5,2509.0015543561885,3962.500251378727
Selection 5,2459.2539466363287,4013.4704186329654
Selection 5,2390.2623462457095,3972.748620808881
Selection 5,2375.002992057366,3883.441401488974
Selection 5,2404.933060658241,3722.169196244221
Selection 5,2393.2508251075215,3657.2527943015266
Selection 5,2345.4351633185297,3601.2867356166835
Selection 5,2346.0388964219255,3511.239943245116
Selection 5,2350.0839082146813,3418.9593383909823
Selection 5,2333.1491946644132,3267.543076059175
Selection 5,2313.4825888212767,3020.6464234252326
Selection 5,2328.77212966479,2891.160766074298
Selection 5,2348.831162025134,2817.6864473909604
Selection 5,2361.0869440240804,2753.8869516895497
Selection 5,2381.176163039594,2616.5376706668776
Selection 5,2448.8093639475715,2574.532939998075
Selection 5,2510.7221937008685,2563.711024119695
Selection 5,2591.954482762849,2556.270013620335
Selection 5,2628.525615501084,2490.1612387984333
Selection 5,2635.2421462763687,2406.136684133245
Selection 5,2689.578125582041,2355.845716620328
Selection 5,2699.8114016846093,2409.547776167434
Selection 6,4518.649316902931,4171.5179729540105
Selection 6,4556.214139645499,4134.822229824361
Selection 6,4593.573127742902,4106.691494985178
Selection 6,4655.174862937487,4071.539511694263
Selection 6,4706.667830002869,4075.850603984659
Selection 6,4785.422452294516,4078.1033498234065
Selection 6,4867.481864166864,4082.3687010815424
